
Resultados por comunidades y ciudades autónomas
Formación Bruta de Capital Fijo por comunidades y ciudades autónomas, ramas de actividad y periodo.
Unidades: miles de euros y porcentajes

,2007 (P),2006,2005,2004,2003,2002,2001,2000,
    NN  Actividades sanitarias y veterinarias servicios sociales,235.078,207.281,144.212,115.059,110.027,101.256,76.962,69.698,
    OO  Otros servicios y actividades sociales servicios personales,415.841,408.344,300.826,242.780,264.705,242.524,213.511,202.151,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,8.427.150,8.066.122,7.197.735,6.265.908,5.463.837,5.150.735,4.807.375,4.347.958,
Canarias,
    FORMACIÓN BRUTA DE CAPITAL FIJO,14.470.717,13.762.442,12.477.591,11.148.546,10.431.571,9.409.462,8.690.640,7.909.824,
    Agricultura, ganadería y pesca,73.108,78.715,74.589,81.041,80.437,74.619,77.515,68.968,
    AA  Agricultura, ganadería, caza y selvicultura,61.014,65.340,62.668,69.490,63.689,57.609,59.632,56.250,
    BB  Pesca,12.094,13.375,11.921,11.551,16.748,17.010,17.883,12.718,
    Energía,251.046,362.860,266.112,199.086,160.999,173.031,152.364,133.147,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,55.364,68.272,51.330,60.825,61.896,62.066,60.540,52.332,
    EE  Energía eléctrica, gas y agua,195.682,294.588,214.782,138.261,99.103,110.965,91.824,80.815,
    Industria,274.004,270.539,279.863,262.862,218.440,210.539,210.652,219.409,
    Construcción,797.626,702.062,631.929,548.358,439.927,351.449,373.290,334.721,
    FF  Construcción,797.626,702.062,631.929,548.358,439.927,351.449,373.290,334.721,
    Servicios,13.074.933,12.348.266,11.225.098,10.057.199,9.531.768,8.599.824,7.876.819,7.153.579,
    GG  Comercio y reparación,1.951.128,1.741.419,1.753.118,1.896.822,1.487.726,1.365.649,1.268.432,1.269.738,
    HH  Hostelería,1.125.517,981.848,927.773,1.001.871,893.292,884.967,776.502,687.082,
    II  Transporte y comunicaciones,1.281.432,1.234.325,1.358.557,1.070.579,1.157.528,1.060.728,1.093.694,1.107.919,
    JJ  Intermediación financiera,111.376,254.250,136.071,153.543,137.266,85.243,106.317,90.343,
    KK  Inmobiliarias y servicios empresariales,6.217.308,5.977.425,5.186.769,4.403.429,4.049.208,3.661.921,3.139.284,2.598.664,
    LL  Administración pública,1.158.245,929.444,847.165,677.203,984.381,770.429,738.752,685.041,
    MM  Educación,164.256,168.108,194.283,193.717,152.745,146.800,142.357,131.019,
    NN  Actividades sanitarias y veterinarias servicios sociales,335.359,347.055,286.441,221.315,201.619,203.100,241.379,227.503,
    OO  Otros servicios y actividades sociales servicios personales,730.312,714.392,534.921,438.720,468.003,420.987,370.102,356.270,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,14.470.717,13.762.442,12.477.591,11.148.546,10.431.571,9.409.462,8.690.640,7.909.824,
Cantabria,
    FORMACIÓN BRUTA DE CAPITAL FIJO,3.748.670,3.406.280,3.103.435,2.888.752,2.680.448,2.344.870,2.084.387,1.941.208,
    Agricultura, ganadería y pesca,26.020,19.089,23.603,26.134,24.912,24.899,25.310,22.178,
    AA  Agricultura, ganadería, caza y selvicultura,19.714,12.999,16.745,18.085,14.567,14.636,14.396,13.662,
    BB  Pesca,6.306,6.090,6.858,8.049,10.345,10.263,10.914,8.516,
    Energía,98.851,102.991,85.380,88.522,70.552,71.052,72.442,65.222,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,18.497,10.485,8.224,9.324,7.223,8.572,10.542,9.435,
    EE  Energía eléctrica, gas y agua,80.354,92.506,77.156,79.198,63.329,62.480,61.900,55.787,
    Industria,391.208,321.306,279.468,290.221,283.407,275.636,270.664,283.082,
    Construcción,152.985,145.430,115.426,95.851,88.708,70.366,56.820,62.712,
    FF  Construcción,152.985,145.430,115.426,95.851,88.708,70.366,56.820,62.712,
    Servicios,3.079.606,2.817.464,2.599.558,2.388.024,2.212.869,1.902.917,1.659.151,1.508.014,
    GG  Comercio y reparación,150.302,140.026,144.651,153.963,122.945,107.794,100.179,100.613,
    HH  Hostelería,32.065,30.075,28.554,26.200,22.047,22.834,22.889,18.477,
    II  Transporte y comunicaciones,239.142,189.375,184.326,170.767,195.557,177.367,178.734,173.419,
    JJ  Intermediación financiera,20.129,65.815,43.069,38.895,30.914,30.829,30.675,26.067,
    KK  Inmobiliarias y servicios empresariales,1.752.386,1.553.273,1.414.362,1.348.382,1.189.375,1.027.889,878.392,744.563,
    LL  Administración pública,529.446,505.329,521.245,401.680,419.782,334.291,298.646,301.812,
    MM  Educación,50.962,45.024,26.374,32.334,24.665,24.230,15.775,22.081,
    NN  Actividades sanitarias y veterinarias servicios sociales,111.361,96.054,88.149,92.808,79.700,69.447,35.835,25.606,
    OO  Otros servicios y actividades sociales servicios personales,193.813,192.493,148.828,122.995,127.884,108.236,98.026,95.376,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,3.748.670,3.406.280,3.103.435,2.888.752,2.680.448,2.344.870,2.084.387,1.941.208,
Castilla y León,
    FORMACIÓN BRUTA DE CAPITAL FIJO,19.350.568,17.800.143,14.864.673,12.863.024,11.686.648,10.513.696,9.806.138,9.171.039,
    Agricultura, ganadería y pesca,293.426,285.569,270.786,287.353,258.262,262.672,254.867,254.104,
    AA  Agricultura, ganadería, caza y selvicultura,..,..,..,..,..,..,..,..,
    BB  Pesca,..,..,..,..,..,..,..,..,
    Energía,625.175,594.869,382.975,329.706,282.682,283.477,296.120,317.333,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,251.370,194.695,146.824,99.928,113.426,105.516,119.071,105.024,
    EE  Energía eléctrica, gas y agua,373.805,400.174,236.151,229.778,169.256,177.961,177.049,212.309,
    Industria,2.000.517,1.698.906,1.642.846,1.544.074,1.285.005,1.240.951,1.227.693,1.207.982,
    Construcción,864.478,865.084,717.627,575.383,457.519,427.555,389.735,399.016,
    FF  Construcción,864.478,865.084,717.627,575.383,457.519,427.555,389.735,399.016,
    Servicios,15.566.972,14.355.715,11.850.439,10.126.508,9.403.180,8.299.041,7.637.723,6.992.604,
    GG  Comercio y reparación,657.959,622.035,601.587,637.485,523.067,479.826,436.370,399.907,
    HH  Hostelería,281.263,247.731,245.672,241.123,203.770,209.385,187.617,157.866,
    II  Transporte y comunicaciones,1.871.058,1.792.000,1.335.080,942.634,1.291.220,1.314.056,1.232.471,1.225.905,
    JJ  Intermediación financiera,202.210,364.345,262.768,240.014,195.700,109.723,197.878,189.950,
    KK  Inmobiliarias y servicios empresariales,8.410.763,7.763.099,6.485.733,5.277.462,4.603.866,3.831.031,3.336.064,3.026.340,
    LL  Administración pública,2.386.295,2.013.508,1.727.744,1.790.906,1.646.905,1.506.237,1.432.095,1.288.072,
    MM  Educación,319.219,311.013,282.626,228.432,196.406,188.676,201.570,190.616,
    NN  Actividades sanitarias y veterinarias servicios sociales,537.604,392.754,272.760,241.221,222.740,179.479,150.166,112.736,
    OO  Otros servicios y actividades sociales servicios personales,900.601,849.230,636.469,527.231,519.506,480.628,463.492,401.212,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,19.350.568,17.800.143,14.864.673,12.863.024,11.686.648,10.513.696,9.806.138,9.171.039,
Castilla - La Mancha,
    FORMACIÓN BRUTA DE CAPITAL FIJO,17.218.991,14.616.140,11.971.870,9.287.142,7.764.835,7.039.496,6.146.204,5.728.075,
    Agricultura, ganadería y pesca,303.577,318.200,264.696,286.546,262.405,230.539,219.165,196.552,
    AA  Agricultura, ganadería, caza y selvicultura,..,..,..,..,..,..,..,..,
    BB  Pesca,..,..,..,..,..,..,..,..,
    Energía,437.363,549.566,456.134,552.499,350.158,378.689,354.369,419.074,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,124.492,95.706,133.309,205.019,118.902,112.457,105.237,120.710,
    EE  Energía eléctrica, gas y agua,312.871,453.860,322.825,347.480,231.256,266.232,249.132,298.364,
    Industria,1.453.707,1.202.925,1.160.617,946.595,743.945,706.378,710.969,645.128,
    Construcción,792.685,589.458,518.214,336.773,312.071,293.167,255.792,263.427,
